"","Date","Sample.ID","Chamber.ID","SDR","Tank","Temperature","Symbiont","Type","Salinity","Plate","Run","Volume","Org.Number","Light","Photo.Intercept","P.umol.L.min","unique","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","PAR"
"1",20231113,"POC20-1","D1",641,NA,27,NA,"Sample",36,2,1,8e-05,20,1,217.527946708464,-0.886520376175549,"2 - D1",-7.09216300940439e-05,-1.84360731354889e-06,-6.9078022780495e-05,-3.45390113902475e-06,-0.00345390113902475,0
"2",20231113,"POC20-1","D1",641,NA,27,NA,"Sample",36,2,1,8e-05,20,2,213.104442285014,-0.564131893013822,"2 - D1",-4.51305514411058e-05,-4.37110680932426e-05,-1.41948334786317e-06,-7.09741673931586e-08,-7.09741673931586e-05,150
"3",20231113,"POC20-2","D2",641,NA,27,NA,"Sample",36,2,1,8e-05,20,1,234.418552696874,-0.874667328320041,"2 - D2",-6.99733862656033e-05,-1.84360731354889e-06,-6.81297789520544e-05,-3.40648894760272e-06,-0.00340648894760272,0
"4",20231113,"POC20-2","D2",641,NA,27,NA,"Sample",36,2,1,8e-05,20,2,194.174263111888,0.287814685314686,"2 - D2",2.30251748251749e-05,-4.37110680932426e-05,6.67362429184175e-05,3.33681214592087e-06,0.00333681214592087,150
"5",20231113,"POC20-3","D3",641,NA,27,NA,"Sample",36,2,1,8e-05,20,1,215.001407379437,-1.09695945008708,"2 - D3",-8.77567560069664e-05,-1.84360731354889e-06,-8.59131486934175e-05,-4.29565743467088e-06,-0.00429565743467088,0
"6",20231113,"POC20-3","D3",641,NA,27,NA,"Sample",36,2,1,8e-05,20,2,197.091561477326,-0.375979230700367,"2 - D3",-3.00783384560294e-05,-4.37110680932426e-05,1.36327296372132e-05,6.81636481860662e-07,0.000681636481860662,150
"7",20231113,"POC60-1","A4",641,NA,27,NA,"Sample",36,2,1,8e-05,60,1,223.498605849685,-1.02343250647908,"2 - A4",-8.18746005183264e-05,-1.84360731354889e-06,-8.00309932047775e-05,-1.33384988674629e-06,-0.00133384988674629,0
"8",20231113,"POC60-1","A4",641,NA,27,NA,"Sample",36,2,1,8e-05,60,2,172.862641470889,1.40493564862104,"2 - A4",0.000112394851889683,-4.37110680932426e-05,0.000156105919982926,2.60176533304876e-06,0.00260176533304876,150
"9",20231113,"POC5-1","D4",641,NA,27,NA,"Sample",36,2,1,8e-05,5,1,205.928590258958,0.12354923215899,"2 - D4",9.8839385727192e-06,-1.84360731354889e-06,1.17275458862681e-05,2.34550917725362e-06,0.00234550917725362,0
"10",20231113,"POC5-1","D4",641,NA,27,NA,"Sample",36,2,1,8e-05,5,2,226.277032504662,-0.81601929627175,"2 - D4",-6.528154370174e-05,-4.37110680932426e-05,-2.15704756084974e-05,-4.31409512169948e-06,-0.00431409512169948,150
"11",20231113,"POC60-2","A5",641,NA,27,NA,"Sample",36,2,1,8e-05,60,1,215.851749482402,-0.862509953814303,"2 - A5",-6.90007963051442e-05,-1.84360731354889e-06,-6.71571889915953e-05,-1.11928648319326e-06,-0.00111928648319326,0
"12",20231113,"POC60-2","A5",641,NA,27,NA,"Sample",36,2,1,8e-05,60,2,160.632102513039,1.23550384068279,"2 - A5",9.88403072546232e-05,-4.37110680932426e-05,0.000142551375347866,2.37585625579776e-06,0.00237585625579776,150
"13",20231113,"POC5-2","D5",641,NA,27,NA,"Sample",36,2,1,8e-05,5,1,210.068363636364,-0.606817160367722,"2 - D5",-4.85453728294178e-05,-1.84360731354889e-06,-4.67017655158689e-05,-9.34035310317377e-06,-0.00934035310317377,0
"14",20231113,"POC5-2","D5",641,NA,27,NA,"Sample",36,2,1,8e-05,5,2,239.653688647998,-1.28545257452574,"2 - D5",-0.000102836205962059,-4.37110680932426e-05,-5.91251378688166e-05,-1.18250275737633e-05,-0.0118250275737633,150
"15",20231113,"POC60-3","A6",641,NA,27,NA,"Sample",36,2,1,8e-05,60,1,235.29532795544,-0.201971272173518,"2 - A6",-1.61577017738814e-05,-1.84360731354889e-06,-1.43140944603325e-05,-2.38568241005542e-07,-0.000238568241005542,0
"16",20231113,"POC60-3","A6",641,NA,27,NA,"Sample",36,2,1,8e-05,60,2,168.057311992356,1.18767701863354,"2 - A6",9.50141614906832e-05,-4.37110680932426e-05,0.000138725229583926,2.3120871597321e-06,0.0023120871597321,150
"17",20231113,"POC5-3","D6",641,NA,27,NA,"Sample",36,2,1,8e-05,5,1,218.138279366701,0.00616751787538273,"2 - D6",4.93401430030618e-07,-1.84360731354889e-06,2.33700874357951e-06,4.67401748715902e-07,0.000467401748715902,0
"18",20231113,"POC5-3","D6",641,NA,27,NA,"Sample",36,2,1,8e-05,5,2,194.221179904306,0.221795762132605,"2 - D6",1.77436609706084e-05,-4.37110680932426e-05,6.1454729063851e-05,1.22909458127702e-05,0.0122909458127702,150
