"","Date","Sample.ID","Chamber.ID","SDR","Cohort","Temperature","Phenotype","Type","Salinity","Plate","Run","Volume","Org.Number","...15","unique","Date.y","Plate.y","Sample.ID.y","Chamber.ID.y","Light","Photo.Intercept","P.umol.L.min","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","Cohort_Phenotype","group"
"1",20231116,3,"C1",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162C1",20231116,2,3,"C1",1,174.056005557099,1.48105696026674,0.000118484556821339,3.22632742660887e-05,8.62212825552505e-05,1.43702137592084e-06,0.00143702137592084,"20231112  Green","20231116_C1"
"2",20231116,3,"C1",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162C1",20231116,2,3,"C1",2,221.585381118104,-1.18769285449833,-9.50154283598664e-05,-6.15588788691548e-06,-8.88595404729509e-05,-1.48099234121585e-06,-0.00148099234121585,"20231112  Green","20231116_C1"
"3",20231116,5,"A2",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162A2",20231116,2,5,"A2",1,125.301920374707,2.95754828636902,0.000236603862909522,3.22632742660887e-05,0.000204340588643433,3.40567647739055e-06,0.00340567647739055,"20231112  Green","20231116_A2"
"4",20231116,5,"A2",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162A2",20231116,2,5,"A2",2,212.415498533724,-1.60118768328446,-0.000128095014662757,-6.15588788691548e-06,-0.000121939126775841,-2.03231877959736e-06,-0.00203231877959736,"20231112  Green","20231116_A2"
"5",20231116,9,"A3",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162A3",20231116,2,9,"A3",1,127.876571940604,1.93436251920123,0.000154749001536098,3.22632742660887e-05,0.00012248572727001,2.0414287878335e-06,0.0020414287878335,"20231112  Green","20231116_A3"
"6",20231116,9,"A3",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162A3",20231116,2,9,"A3",2,210.875505279035,-2.27250678733032,-0.000181800542986426,-6.15588788691548e-06,-0.00017564465509951,-2.92741091832517e-06,-0.00292741091832517,"20231112  Green","20231116_A3"
"7",20231116,14,"B4",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162B4",20231116,2,14,"B4",1,164.263143680574,3.4172989273581,0.000273383914188648,3.22632742660887e-05,0.000241120639922559,4.01867733204266e-06,0.00401867733204266,"20231112  Green","20231116_B4"
"8",20231116,14,"B4",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162B4",20231116,2,14,"B4",2,254.158233117484,-2.14547271045329,-0.000171637816836263,-6.15588788691548e-06,-0.000165481928949348,-2.7580321491558e-06,-0.0027580321491558,"20231112  Green","20231116_B4"
"9",20231116,20,"D5",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162D5",20231116,2,20,"D5",1,176.165189947399,1.61718293395675,0.00012937463471654,3.22632742660887e-05,9.71113604504513e-05,1.61852267417419e-06,0.00161852267417419,"20231112  Green","20231116_D5"
"10",20231116,20,"D5",710,20231112,28,"Green","Sample",36,2,2,8e-05,60,NA,"202311162D5",20231116,2,20,"D5",2,221.59667805003,-1.2662255613421,-0.000101298044907368,-6.15588788691548e-06,-9.51421570204525e-05,-1.58570261700754e-06,-0.00158570261700754,"20231112  Green","20231116_D5"
