"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"50","P. grandis","POG-156",39.7386855555556,"40","0",2,-7.07127627163251e-05,-0.25456594577877,"Adult",0,-7.07127627163251e-05
"51","P. grandis","POG-156",39.8421933333333,"40","560",2,-6.398696500456e-05,-0.230353074016416,"Adult",560,-6.398696500456e-05
"52","P. grandis","POG-159",17.3320291666667,"17","0",4,-7.79194660462855e-05,-0.280510077766628,"Adult",0,-7.79194660462855e-05
"53","P. grandis","POG-159",17.3595637254902,"17","560",4,7.30046978571121e-05,0.262816912285604,"Adult",560,7.30046978571121e-05
"54","P. grandis","POG-159",21.3442266666667,"21","0",4,-9.83241346073874e-05,-0.353966884586595,"Adult",0,-9.83241346073874e-05
"55","P. grandis","POG-159",21.4711477777778,"21","560",4,9.58602088607626e-05,0.345096751898746,"Adult",560,9.58602088607626e-05
"56","P. grandis","POG-159",24.25399,"24","0",4,-0.00011660305092375,-0.419770983325499,"Adult",0,-0.00011660305092375
"57","P. grandis","POG-159",24.5828788888889,"24","560",4,0.00010379286447164,0.373654312097903,"Adult",560,0.00010379286447164
"58","P. grandis","POG-159",28.0800122222222,"28","0",4,-0.000151379782563227,-0.544967217227619,"Adult",0,-0.000151379782563227
"59","P. grandis","POG-159",28.2646188888889,"28","560",4,0.000102973401579955,0.370704245687837,"Adult",560,0.000102973401579955
"60","P. grandis","POG-159",29.8074288888889,"30","0",4,-0.000161266355537851,-0.580558879936265,"Adult",0,-0.000161266355537851
"61","P. grandis","POG-159",30.0818039215686,"30","560",4,0.000105834687040338,0.381004873345215,"Adult",560,0.000105834687040338
"62","P. grandis","POG-159",31.86339,"32","0",4,-0.000163166194932549,-0.587398301757178,"Adult",0,-0.000163166194932549
"63","P. grandis","POG-159",32.01325,"32","560",4,9.00270563976198e-05,0.324097403031431,"Adult",560,9.00270563976198e-05
"64","P. grandis","POG-159",34.7383911111111,"35","0",4,-0.000203613247911992,-0.73300769248317,"Adult",0,-0.000203613247911992
"65","P. grandis","POG-159",34.8128144444444,"35","560",4,2.9284210967525e-05,0.10542315948309,"Adult",560,2.9284210967525e-05
"66","P. grandis","POG-159",37.8149888888889,"38","0",4,-0.000124469082891573,-0.448088698409662,"Adult",0,-0.000124469082891573
"67","P. grandis","POG-159",37.8742733333333,"38","560",4,-6.51182522631711e-05,-0.234425708147416,"Adult",560,-6.51182522631711e-05
"68","P. grandis","POG-159",39.7890211111111,"40","0",4,-0.000103702047440451,-0.373327370785622,"Adult",0,-0.000103702047440451
"69","P. grandis","POG-159",39.8579566666667,"40","560",4,-0.000108895016618277,-0.392022059825797,"Adult",560,-0.000108895016618277
"70","P. grandis","POG-163",17.4804306326304,"17","0",5,-5.18378504616958e-05,-0.186616261662105,"Adult",0,-5.18378504616958e-05
"71","P. grandis","POG-163",17.60407,"17","560",5,7.48527535701884e-05,0.269469912852678,"Adult",560,7.48527535701884e-05
"72","P. grandis","POG-163",21.526959375,"21","0",5,-7.18927734867262e-05,-0.258813984552214,"Adult",0,-7.18927734867262e-05
"73","P. grandis","POG-163",21.7108588888889,"21","560",5,9.51625535902325e-05,0.342585192924837,"Adult",560,9.51625535902325e-05
"74","P. grandis","POG-163",24.3365733333333,"24","0",5,-9.28903373810044e-05,-0.334405214571616,"Adult",0,-9.28903373810044e-05
"75","P. grandis","POG-163",24.9358744444444,"24","560",5,0.000127130026108611,0.457668093990999,"Adult",560,0.000127130026108611
"76","P. grandis","POG-163",27.9664211111111,"28","0",5,-0.00012025281730696,-0.432910142305057,"Adult",0,-0.00012025281730696
"77","P. grandis","POG-163",28.0720944444444,"28","560",5,0.000118053553875591,0.424992793952129,"Adult",560,0.000118053553875591
"78","P. grandis","POG-163",29.94441,"30","0",5,-0.000120428754515683,-0.433543516256459,"Adult",0,-0.000120428754515683
"79","P. grandis","POG-163",30.2016,"30","560",5,0.000105152974575258,0.37855070847093,"Adult",560,0.000105152974575258
"80","P. grandis","POG-163",31.84665,"32","0",5,-0.000139625165403945,-0.502650595454202,"Adult",0,-0.000139625165403945
"81","P. grandis","POG-163",32.06504,"32","560",5,9.23184691736395e-05,0.332346489025102,"Adult",560,9.23184691736395e-05
"82","P. grandis","POG-163",34.6222488888889,"35","0",5,-0.000139448591600894,-0.502014929763217,"Adult",0,-0.000139448591600894
"83","P. grandis","POG-163",34.8099866666667,"35","560",5,5.8862866914992e-05,0.211906320893971,"Adult",560,5.8862866914992e-05
"84","P. grandis","POG-163",37.5462,"38","0",5,-0.000109103297958234,-0.392771872649642,"Adult",0,-0.000109103297958234
"85","P. grandis","POG-163",37.7147955555556,"38","560",5,-3.48001272526343e-05,-0.125280458109483,"Adult",560,-3.48001272526343e-05
"86","P. grandis","POG-163",39.4801444444444,"40","0",5,-7.3301798739759e-05,-0.263886475463132,"Adult",0,-7.3301798739759e-05
"87","P. grandis","POG-163",39.8188333333333,"40","560",5,-7.4133293415742e-05,-0.266879856296671,"Adult",560,-7.4133293415742e-05
"88","P. grandis","POG-168",21.6578511111111,"21","0",2,-8.23078388602367e-05,-0.296308219896852,"Adult",0,-8.23078388602367e-05
"89","P. grandis","POG-168",21.65893,"21","560",2,0.0001724975934116,0.62099133628176,"Adult",560,0.0001724975934116
"90","P. grandis","POG-168",24.05431,"24","0",2,-9.88707152158303e-05,-0.355934574776989,"Adult",0,-9.88707152158303e-05
"91","P. grandis","POG-168",24.2013033333333,"24","560",2,0.000152638363333205,0.549498107999539,"Adult",560,0.000152638363333205
"92","P. grandis","POG-168",28.0107377777778,"28","0",2,-0.000152533554697896,-0.549120796912424,"Adult",0,-0.000152533554697896
"93","P. grandis","POG-168",28.2227044444444,"28","560",2,0.000175482216176733,0.631735978236239,"Adult",560,0.000175482216176733
"94","P. grandis","POG-168",29.9934366666667,"30","0",2,-0.000147960191377118,-0.532656688957626,"Adult",0,-0.000147960191377118
"95","P. grandis","POG-168",30.1833455555556,"30","560",2,0.000174536521326457,0.628331476775246,"Adult",560,0.000174536521326457
"96","P. grandis","POG-168",31.7460233333333,"32","0",2,-0.00016998140029083,-0.611933041046986,"Adult",0,-0.00016998140029083
"97","P. grandis","POG-168",31.7996644444444,"32","560",2,0.000171941498924483,0.618989396128137,"Adult",560,0.000171941498924483
"98","P. grandis","POG-168",34.7948033333333,"35","0",2,-0.000195168307237419,-0.702605906054708,"Adult",0,-0.000195168307237419
