"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"1","P. grandis","POG-103",17.4128979166667,"17","0","Run5",-0.000103529700658645,-0.372706922371121,"Adult",0,-0.000103529700658645
"2","P. grandis","POG-103",17.232655,"17","560","Run5",-1.78974760575581e-05,-0.0644309138072093,"Adult",560,-1.78974760575581e-05
"3","P. grandis","POG-103",21.546003125,"21","0","Run5",-0.000115101261510499,-0.414364541437796,"Adult",0,-0.000115101261510499
"4","P. grandis","POG-103",21.8177039215686,"21","560","Run5",5.72928493557477e-05,0.206254257680692,"Adult",560,5.72928493557477e-05
"5","P. grandis","POG-103",24.2273960784314,"24","0","Run5",-0.000117873496115329,-0.424344586015186,"Adult",0,-0.000117873496115329
"6","P. grandis","POG-103",24.3265647058824,"24","560","Run5",7.41103801508251e-05,0.26679736854297,"Adult",560,7.41103801508251e-05
"7","P. grandis","POG-103",27.872409375,"28","0","Run5",-0.000149754399216619,-0.539115837179828,"Adult",0,-0.000149754399216619
"8","P. grandis","POG-103",27.8682287037037,"28","560","Run5",0.000135250137877268,0.486900496358166,"Adult",560,0.000135250137877268
"9","P. grandis","POG-103",29.7385657894737,"30","0","Run5",-0.000164968298855645,-0.593885875880321,"Adult",0,-0.000164968298855645
"10","P. grandis","POG-103",29.6556960784314,"30","560","Run5",0.000147022790102076,0.529282044367475,"Adult",560,0.000147022790102076
"11","P. grandis","POG-103",31.9482916666667,"32","0","Run5",-0.000179735638072189,-0.647048297059882,"Adult",0,-0.000179735638072189
"12","P. grandis","POG-103",31.6370946969697,"32","560","Run5",0.000106639009208255,0.383900433149717,"Adult",560,0.000106639009208255
"13","P. grandis","POG-103",34.4538351851852,"35","0","Run5",-0.000191642089081768,-0.689911520694366,"Adult",0,-0.000191642089081768
"14","P. grandis","POG-103",34.6369764705882,"35","560","Run5",1.2549650233475e-06,0.004517874084051,"Adult",560,1.2549650233475e-06
"15","P. grandis","POG-103",37.2069302083333,"38","0","Run5",-0.000138266256639371,-0.497758523901736,"Adult",0,-0.000138266256639371
"16","P. grandis","POG-103",37.8202481481481,"38","560","Run5",-0.000149159530946334,-0.536974311406802,"Adult",560,-0.000149159530946334
"17","P. grandis","POG-103",39.09755625,"40","0","Run5",-0.000161713383639681,-0.582168181102853,"Adult",0,-0.000161713383639681
"18","P. grandis","POG-103",39.5201009803922,"40","560","Run5",-0.000166088071015614,-0.597917055656211,"Adult",560,-0.000166088071015614
"19","P. grandis","POG-107",17.468625,"17","0","Run5",-9.88643098379434e-05,-0.355911515416596,"Adult",0,-9.88643098379434e-05
"20","P. grandis","POG-107",17.3315366666667,"17","560","Run5",8.77073018981916e-05,0.31574628683349,"Adult",560,8.77073018981916e-05
"21","P. grandis","POG-107",21.6196510416667,"21","0","Run5",-0.000109990720526725,-0.395966593896212,"Adult",0,-0.000109990720526725
"22","P. grandis","POG-107",21.9485774509804,"21","560","Run5",0.000201708343902943,0.726150038050594,"Adult",560,0.000201708343902943
"23","P. grandis","POG-107",24.2724705882353,"24","0","Run5",-0.000133390207141163,-0.480204745708186,"Adult",0,-0.000133390207141163
"24","P. grandis","POG-107",24.3315176470588,"24","560","Run5",0.000232235630414898,0.836048269493631,"Adult",560,0.000232235630414898
"25","P. grandis","POG-107",28.026,"28","0","Run5",-0.000174369648541241,-0.627730734748469,"Adult",0,-0.000174369648541241
"26","P. grandis","POG-107",28.0322731481481,"28","560","Run5",0.000291305846201517,1.04870104632546,"Adult",560,0.000291305846201517
