"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"1","P. grandis","POG-104",17.73721875,"17","0","Run4",-0.000114583165573469,-0.412499396064488,"Adult",0,-0.000114583165573469
"2","P. grandis","POG-104",17.7277049019608,"17","560","Run4",0.000125036976068697,0.450133113847309,"Adult",560,0.000125036976068697
"3","P. grandis","POG-104",21.7372903508772,"21","0","Run4",-0.000106342199339705,-0.382831917622936,"Adult",0,-0.000106342199339705
"4","P. grandis","POG-104",22.1982205882353,"21","560","Run4",0.000173803741529073,0.625693469504664,"Adult",560,0.000173803741529073
"5","P. grandis","POG-104",24.5428780701754,"24","0","Run4",-0.000131635398187932,-0.473887433476554,"Adult",0,-0.000131635398187932
"6","P. grandis","POG-104",24.8311901960784,"24","560","Run4",0.00018906912143815,0.680648837177339,"Adult",560,0.00018906912143815
"7","P. grandis","POG-104",28.2847166666667,"28","0","Run4",-0.000171598679697443,-0.617755246910795,"Adult",0,-0.000171598679697443
"8","P. grandis","POG-104",28.4445862745098,"28","560","Run4",0.000253376654244557,0.912155955280407,"Adult",560,0.000253376654244557
"9","P. grandis","POG-104",30.3143802083333,"30","0","Run4",-0.000178394942354205,-0.642221792475138,"Adult",0,-0.000178394942354205
"10","P. grandis","POG-104",30.8816805555556,"30","560","Run4",0.000221192728578441,0.796293822882386,"Adult",560,0.000221192728578441
"11","P. grandis","POG-104",32.1343052083333,"32","0","Run4",-0.000300212399356341,-1.08076463768283,"Adult",0,-0.000300212399356341
"12","P. grandis","POG-104",32.4169558333333,"32","560","Run4",0.000207881015938277,0.748371657377796,"Adult",560,0.000207881015938277
"13","P. grandis","POG-104",34.6485055555556,"35","0","Run4",-0.000205949538000583,-0.741418336802099,"Adult",0,-0.000205949538000583
"14","P. grandis","POG-104",34.6881274509804,"35","560","Run4",0.000126534959089098,0.455525852720753,"Adult",560,0.000126534959089098
"15","P. grandis","POG-104",37.5504637254902,"38","0","Run4",-0.000137661791537849,-0.495582449536256,"Adult",0,-0.000137661791537849
"16","P. grandis","POG-104",37.7451027777778,"38","560","Run4",-0.000178653684843517,-0.643153265436662,"Adult",560,-0.000178653684843517
"17","P. grandis","POG-104",38.1578677083333,"40","0","Run4",-0.000159370205268803,-0.573732738967692,"Adult",0,-0.000159370205268803
"18","P. grandis","POG-104",38.9961740740741,"40","560","Run4",-0.000164040927885154,-0.590547340386555,"Adult",560,-0.000164040927885154
"19","P. grandis","POG-106",17.6197302083333,"17","0","Run4",-0.000106961648566127,-0.385061934838059,"Adult",0,-0.000106961648566127
"20","P. grandis","POG-106",17.4966921568627,"17","560","Run4",6.70162111370182e-05,0.241258360093266,"Adult",560,6.70162111370182e-05
"21","P. grandis","POG-106",21.6768815789474,"21","0","Run4",-8.2386585020282e-05,-0.296591706073015,"Adult",0,-8.2386585020282e-05
"22","P. grandis","POG-106",22.2244088235294,"21","560","Run4",0.000140796080180432,0.506865888649555,"Adult",560,0.000140796080180432
"23","P. grandis","POG-106",24.3610780701754,"24","0","Run4",-0.00010447368533152,-0.376105267193472,"Adult",0,-0.00010447368533152
"24","P. grandis","POG-106",24.4473235294118,"24","560","Run4",0.000146437874928712,0.527176349743363,"Adult",560,0.000146437874928712
"25","P. grandis","POG-106",28.1465519607843,"28","0","Run4",-0.000122111528069441,-0.439601501049989,"Adult",0,-0.000122111528069441
"26","P. grandis","POG-106",28.2141264705882,"28","560","Run4",0.000146904744477836,0.528857080120209,"Adult",560,0.000146904744477836
"27","P. grandis","POG-106",30.1451104166667,"30","0","Run4",-0.000134876863536924,-0.485556708732926,"Adult",0,-0.000134876863536924
"28","P. grandis","POG-106",30.6279018518519,"30","560","Run4",0.000126923401560959,0.456924245619451,"Adult",560,0.000126923401560959
"29","P. grandis","POG-106",31.8396416666667,"32","0","Run4",-0.000139276481988826,-0.501395335159774,"Adult",0,-0.000139276481988826
"30","P. grandis","POG-106",32.2205433333333,"32","560","Run4",0.000102529624921832,0.369106649718596,"Adult",560,0.000102529624921832
"31","P. grandis","POG-106",34.3529537037037,"35","0","Run4",-0.000175391099125664,-0.631407956852391,"Adult",0,-0.000175391099125664
"32","P. grandis","POG-106",34.3230745098039,"35","560","Run4",5.50457136958924e-05,0.198164569305213,"Adult",560,5.50457136958924e-05
"33","P. grandis","POG-106",37.3121833333333,"38","0","Run4",-0.000101800418009215,-0.366481504833175,"Adult",0,-0.000101800418009215
"34","P. grandis","POG-106",37.6644888888889,"38","560","Run4",-0.00012011093193031,-0.432399354949116,"Adult",560,-0.00012011093193031
"35","P. grandis","POG-106",38.0210729166667,"40","0","Run4",-9.46228582177043e-05,-0.340642289583736,"Adult",0,-9.46228582177043e-05
"36","P. grandis","POG-106",38.8069703703704,"40","560","Run4",-0.000101048529023189,-0.363774704483482,"Adult",560,-0.000101048529023189
"37","P. meandrina","POM-105",17.7045677083333,"17","0","Run4",-0.000139878659448075,-0.50356317401307,"Adult",0,-0.000139878659448075
"38","P. meandrina","POM-105",17.6006725490196,"17","560","Run4",0.000104671181372847,0.37681625294225,"Adult",560,0.000104671181372847
"39","P. meandrina","POM-105",21.6902342105263,"21","0","Run4",-0.000133807244140182,-0.481706078904655,"Adult",0,-0.000133807244140182
"40","P. meandrina","POM-105",22.1596892156863,"21","560","Run4",0.000177779949390353,0.640007817805271,"Adult",560,0.000177779949390353
"41","P. meandrina","POM-105",24.4445421052632,"24","0","Run4",-0.000139946244362972,-0.503806479706698,"Adult",0,-0.000139946244362972
"42","P. meandrina","POM-105",24.6764823529412,"24","560","Run4",0.000199035459224185,0.716527653207065,"Adult",560,0.000199035459224185
"43","P. meandrina","POM-105",28.131568627451,"28","0","Run4",-0.000157031178542493,-0.565312242752974,"Adult",0,-0.000157031178542493
"44","P. meandrina","POM-105",28.2095529411765,"28","560","Run4",0.000242915433918476,0.874495562106515,"Adult",560,0.000242915433918476
"45","P. meandrina","POM-105",30.129453125,"30","0","Run4",-0.00018335026511111,-0.660060954399995,"Adult",0,-0.00018335026511111
"46","P. meandrina","POM-105",30.6516555555556,"30","560","Run4",0.000242441508138996,0.872789429300385,"Adult",560,0.000242441508138996
"47","P. meandrina","POM-105",31.7318729166667,"32","0","Run4",-0.000202547688076774,-0.729171677076387,"Adult",0,-0.000202547688076774
"48","P. meandrina","POM-105",32.2006566666667,"32","560","Run4",0.000262276423259157,0.944195123732964,"Adult",560,0.000262276423259157
"49","P. meandrina","POM-105",34.1323537037037,"35","0","Run4",-0.000211681266066328,-0.76205255783878,"Adult",0,-0.000211681266066328
"50","P. meandrina","POM-105",34.1180460784314,"35","560","Run4",0.000113404985934055,0.408257949362597,"Adult",560,0.000113404985934055
"51","P. meandrina","POM-105",36.9862088235294,"38","0","Run4",-0.000123505380541369,-0.444619369948929,"Adult",0,-0.000123505380541369
"52","P. meandrina","POM-105",37.2593222222222,"38","560","Run4",-0.000134247400039206,-0.48329064014114,"Adult",560,-0.000134247400039206
"53","P. meandrina","POM-105",35.28378125,"40","0","Run4",-0.000133932849080447,-0.482158256689609,"Adult",0,-0.000133932849080447
"54","P. meandrina","POM-105",35.4169490740741,"40","560","Run4",-0.000224199316683998,-0.807117540062392,"Adult",560,-0.000224199316683998
"55","P. tuahiniensis","POT-105",17.5726822916667,"17","0","Run4",-0.000127926349228758,-0.460534857223529,"Adult",0,-0.000127926349228758
"56","P. tuahiniensis","POT-105",17.5747470588235,"17","560","Run4",5.49775409657108e-05,0.197919147476559,"Adult",560,5.49775409657108e-05
"57","P. tuahiniensis","POT-105",21.4875921052632,"21","0","Run4",-3.95122024096796e-05,-0.142243928674847,"Adult",0,-3.95122024096796e-05
"58","P. tuahiniensis","POT-105",21.938787254902,"21","560","Run4",0.00051710278810621,1.86157003718236,"Adult",560,0.00051710278810621
"59","P. tuahiniensis","POT-105",24.2210789473684,"24","0","Run4",-7.62148162405156e-05,-0.274373338465856,"Adult",0,-7.62148162405156e-05
"60","P. tuahiniensis","POT-105",24.4949274509804,"24","560","Run4",0.000134154342695558,0.48295563370401,"Adult",560,0.000134154342695558
"61","P. tuahiniensis","POT-105",27.9336137254902,"28","0","Run4",-0.000126502570308088,-0.455409253109116,"Adult",0,-0.000126502570308088
"62","P. tuahiniensis","POT-105",28.0130529411765,"28","560","Run4",0.00013933027151273,0.501588977445829,"Adult",560,0.00013933027151273
"63","P. tuahiniensis","POT-105",29.891415625,"30","0","Run4",-0.000154706549627503,-0.556943578659011,"Adult",0,-0.000154706549627503
"64","P. tuahiniensis","POT-105",30.3614259259259,"30","560","Run4",0.000116168030121775,0.418204908438391,"Adult",560,0.000116168030121775
"65","P. tuahiniensis","POT-105",31.478721875,"32","0","Run4",-0.000156765517131743,-0.564355861674275,"Adult",0,-0.000156765517131743
"66","P. tuahiniensis","POT-105",31.8144983333333,"32","560","Run4",0.000110879163006585,0.399164986823706,"Adult",560,0.000110879163006585
