"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"1","P. grandis","POG-101",17.1152395833333,"17","0","Run3",-8.60959483293523e-05,-0.309945413985668,"Adult",0,-8.60959483293523e-05
"2","P. grandis","POG-101",17.1262078431373,"17","560","Run3",6.08940883061558e-05,0.219218717902161,"Adult",560,6.08940883061558e-05
"3","P. grandis","POG-101",21.4198635416667,"21","0","Run3",-0.00013341901636508,-0.480308458914288,"Adult",0,-0.00013341901636508
"4","P. grandis","POG-101",21.627915,"21","560","Run3",4.16658425959034e-05,0.149997033345252,"Adult",560,4.16658425959034e-05
"5","P. grandis","POG-101",24.37779375,"24","0","Run3",-0.000142499450598951,-0.512998022156222,"Adult",0,-0.000142499450598951
"6","P. grandis","POG-101",24.6642673333333,"24","560","Run3",9.77208837636461e-05,0.351795181549126,"Adult",560,9.77208837636461e-05
"7","P. grandis","POG-101",28.1445911764706,"28","0","Run3",-0.000158559401030989,-0.57081384371156,"Adult",0,-0.000158559401030989
"8","P. grandis","POG-101",28.6042703703704,"28","560","Run3",0.000102247836296065,0.368092210665836,"Adult",560,0.000102247836296065
"9","P. grandis","POG-101",29.9435546296296,"30","0","Run3",-0.00017731356240803,-0.638328824668908,"Adult",0,-0.00017731356240803
"10","P. grandis","POG-101",30.4317,"30","560","Run3",0.00010853420399392,0.390723134378113,"Adult",560,0.00010853420399392
"11","P. grandis","POG-101",31.6834362745098,"32","0","Run3",-0.000176106737085113,-0.633984253506406,"Adult",0,-0.000176106737085113
"12","P. grandis","POG-101",31.8713225490196,"32","560","Run3",8.68746004246025e-05,0.312748561528569,"Adult",560,8.68746004246025e-05
"13","P. grandis","POG-101",34.5764893939394,"35","0","Run3",-0.000233638167785719,-0.841097404028587,"Adult",0,-0.000233638167785719
"14","P. grandis","POG-101",34.9128725490196,"35","560","Run3",2.6244424223158e-05,0.0944799272033688,"Adult",560,2.6244424223158e-05
"15","P. grandis","POG-101",37.2353259259259,"38","0","Run3",-0.000114522460768628,-0.41228085876706,"Adult",0,-0.000114522460768628
"16","P. grandis","POG-101",37.2840225490196,"38","560","Run3",-0.000105012139768851,-0.378043703167863,"Adult",560,-0.000105012139768851
"17","P. grandis","POG-101",40.0850477777778,"40","0","Run3",-3.65033160607469e-05,-0.131411937818689,"Adult",0,-3.65033160607469e-05
"18","P. grandis","POG-101",40.1628881118881,"40","560","Run3",-0.00015998316356761,-0.575939388843397,"Adult",560,-0.00015998316356761
"19","P. grandis","POG-102",17.3388208333333,"17","0","Run3",-8.24031882585005e-05,-0.296651477730602,"Adult",0,-8.24031882585005e-05
"20","P. grandis","POG-102",17.3295901960784,"17","560","Run3",0.000137879038420093,0.496364538312334,"Adult",560,0.000137879038420093
"21","P. grandis","POG-102",21.6365145833333,"21","0","Run3",-0.000133743322752161,-0.481475961907779,"Adult",0,-0.000133743322752161
"22","P. grandis","POG-102",21.8326058333333,"21","560","Run3",0.000123960490328048,0.446257765180971,"Adult",560,0.000123960490328048
"23","P. grandis","POG-102",24.5809760416667,"24","0","Run3",-0.000141337533796407,-0.508815121667065,"Adult",0,-0.000141337533796407
"24","P. grandis","POG-102",24.8805826666667,"24","560","Run3",0.000186897169405707,0.672829809860544,"Adult",560,0.000186897169405707
"25","P. grandis","POG-102",28.3599029411765,"28","0","Run3",-0.000148063344423062,-0.533028039923023,"Adult",0,-0.000148063344423062
"26","P. grandis","POG-102",28.8744453703704,"28","560","Run3",0.000202822032447094,0.730159316809539,"Adult",560,0.000202822032447094
"27","P. grandis","POG-102",30.1360537037037,"30","0","Run3",-0.000163027181100611,-0.5868978519622,"Adult",0,-0.000163027181100611
"28","P. grandis","POG-102",30.6215903508772,"30","560","Run3",0.000217698639725033,0.783715103010118,"Adult",560,0.000217698639725033
"29","P. grandis","POG-102",31.8229284313725,"32","0","Run3",-0.000174508988080537,-0.628232357089932,"Adult",0,-0.000174508988080537
"30","P. grandis","POG-102",32.1019843137255,"32","560","Run3",0.000179053440009448,0.644592384034014,"Adult",560,0.000179053440009448
"31","P. grandis","POG-102",34.778503030303,"35","0","Run3",-0.000219938287825679,-0.791777836172444,"Adult",0,-0.000219938287825679
"32","P. grandis","POG-102",35.1327539215686,"35","560","Run3",0.000145226414768907,0.522815093168067,"Adult",560,0.000145226414768907
"33","P. grandis","POG-102",37.4149777777778,"38","0","Run3",-0.000134046644808334,-0.482567921310003,"Adult",0,-0.000134046644808334
"34","P. grandis","POG-102",37.4172049019608,"38","560","Run3",-1.74395328229825e-05,-0.062782318162737,"Adult",560,-1.74395328229825e-05
"35","P. grandis","POG-102",40.0053155555556,"40","0","Run3",-8.86176033385397e-05,-0.319023372018743,"Adult",0,-8.86176033385397e-05
"36","P. grandis","POG-102",39.8987525,"40","560","Run3",-0.000117231860920077,-0.422034699312276,"Adult",560,-0.000117231860920077
"37","P. grandis","POG-105",17.1238958333333,"17","0","Run3",-4.1719802307196e-05,-0.150191288305906,"Adult",0,-4.1719802307196e-05
"38","P. grandis","POG-105",17.161887254902,"17","560","Run3",5.63927071401075e-05,0.203013745704387,"Adult",560,5.63927071401075e-05
"39","P. grandis","POG-105",21.436609375,"21","0","Run3",-8.7498709570528e-05,-0.314995354453901,"Adult",0,-8.7498709570528e-05
"40","P. grandis","POG-105",21.6570725,"21","560","Run3",5.79678055817521e-05,0.208684100094308,"Adult",560,5.79678055817521e-05
"41","P. grandis","POG-105",24.4023052083333,"24","0","Run3",-9.00785605614933e-05,-0.324282818021376,"Adult",0,-9.00785605614933e-05
"42","P. grandis","POG-105",24.715938,"24","560","Run3",9.53998345703126e-05,0.343439404453125,"Adult",560,9.53998345703126e-05
