"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage"
"1","P. grandis","POG-101",17.1152395833333,"17","0","Run3",-9.77898742348142e-05,-0.352043547245331,"Adult"
"2","P. grandis","POG-101",17.1262078431373,"17","560","Run3",4.50319771473233e-05,0.162115117730364,"Adult"
"3","P. grandis","POG-101",21.4198635416667,"21","0","Run3",-0.0001182072743738,-0.425546187745679,"Adult"
"4","P. grandis","POG-101",21.627915,"21","560","Run3",7.55412132996934e-05,0.271948367878896,"Adult"
"5","P. grandis","POG-101",24.37779375,"24","0","Run3",-0.000140007864120394,-0.504028310833418,"Adult"
"6","P. grandis","POG-101",24.6642673333333,"24","560","Run3",0.000101538283408354,0.365537820270074,"Adult"
"7","P. grandis","POG-101",28.1445911764706,"28","0","Run3",-0.000155607934122719,-0.560188562841788,"Adult"
"8","P. grandis","POG-101",28.6042703703704,"28","560","Run3",0.000111122031511706,0.400039313442143,"Adult"
"9","P. grandis","POG-101",29.9435546296296,"30","0","Run3",-0.00017244068964962,-0.620786482738632,"Adult"
"10","P. grandis","POG-101",30.4317,"30","560","Run3",0.000123954810213712,0.446237316769364,"Adult"
"11","P. grandis","POG-101",31.6834362745098,"32","0","Run3",-0.000180691198218677,-0.650488313587238,"Adult"
"12","P. grandis","POG-101",31.8713225490196,"32","560","Run3",7.35034544729183e-05,0.264612436102506,"Adult"
"13","P. grandis","POG-101",34.5764893939394,"35","0","Run3",-0.000212453573743455,-0.764832865476439,"Adult"
"14","P. grandis","POG-101",34.9128725490196,"35","560","Run3",2.01982624567998e-05,0.0727137448444793,"Adult"
"15","P. grandis","POG-101",37.2353259259259,"38","0","Run3",-0.000134115261111186,-0.48281494000027,"Adult"
"16","P. grandis","POG-101",37.2840225490196,"38","560","Run3",-0.00016118245041676,-0.580256821500335,"Adult"
"17","P. grandis","POG-101",40.0850477777778,"40","0","Run3",-6.04958531188433e-05,-0.217785071227836,"Adult"
"18","P. grandis","POG-101",40.1628881118881,"40","560","Run3",-0.000221581151952472,-0.7976921470289,"Adult"
"19","P. grandis","POG-102",17.3388208333333,"17","0","Run3",-9.06211642567941e-05,-0.326236191324459,"Adult"
"20","P. grandis","POG-102",17.3295901960784,"17","560","Run3",0.000126731845438079,0.456234643577086,"Adult"
"21","P. grandis","POG-102",21.6365145833333,"21","0","Run3",-0.00012305318057175,-0.4429914500583,"Adult"
"22","P. grandis","POG-102",21.8326058333333,"21","560","Run3",0.000147766608617801,0.531959791024085,"Adult"
"23","P. grandis","POG-102",24.5809760416667,"24","0","Run3",-0.000139586556575926,-0.502511603673335,"Adult"
"24","P. grandis","POG-102",24.8805826666667,"24","560","Run3",0.000189579869716083,0.682487530977899,"Adult"
"25","P. grandis","POG-102",28.3599029411765,"28","0","Run3",-0.00014598918349473,-0.525561060581027,"Adult"
"26","P. grandis","POG-102",28.8744453703704,"28","560","Run3",0.000209058425928282,0.752610333341814,"Adult"
"27","P. grandis","POG-102",30.1360537037037,"30","0","Run3",-0.000159602740780475,-0.57456986680971,"Adult"
"28","P. grandis","POG-102",30.6215903508772,"30","560","Run3",0.000228535562484582,0.822728024944497,"Adult"
"29","P. grandis","POG-102",31.8229284313725,"32","0","Run3",-0.000177730745415526,-0.639830683495893,"Adult"
"30","P. grandis","POG-102",32.1019843137255,"32","560","Run3",0.000169656787645737,0.610764435524654,"Adult"
"31","P. grandis","POG-102",34.778503030303,"35","0","Run3",-0.000205050688333399,-0.738182478000237,"Adult"
"32","P. grandis","POG-102",35.1327539215686,"35","560","Run3",0.000140977438618432,0.507518779026356,"Adult"
"33","P. grandis","POG-102",37.4149777777778,"38","0","Run3",-0.000147815601808421,-0.532136166510315,"Adult"
