Measurement Name :,Meas-641,,Generated On :,"13/11/2023, 18:11:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"13/11/2023, 17:00:50",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"13/11/2023, 18:11:25",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.11.23 17:00:52,0.03,235.9,224.47,226.36,207.7,233.34,226.05,214.48,205.25,230.48,228.26,222.59,198.86,246.54,222.59,210.77,202.5,217.9,205.25,219.77,203.11,233.98,200.98,223.53,211.7,,27,965,36,26.57,
13.11.23 17:01:07,0.28,235.58,226.05,226.99,208.93,232.39,227.63,211.7,207.39,232.39,227.31,224.47,199.47,243.62,226.68,212.01,204.03,215.72,205.56,224.16,201.59,241.68,203.11,224.79,216.34,,27,965,36,26.47,
13.11.23 17:01:22,0.53,239.43,231.43,226.68,210.47,236.86,227.31,214.79,211.08,228.89,231.11,223.22,202.81,245.57,226.05,214.17,203.72,219.15,208.93,226.05,201.59,240.07,204.64,228.26,220.71,,27,965,36,26.43,
13.11.23 17:01:37,0.78,241.04,231.43,230.8,211.7,238.78,229.21,216.03,210.16,227.31,230.48,223.53,203.42,240.71,227.94,214.48,204.94,216.03,209.54,223.84,203.42,248.5,206.17,225.73,215.1,,27,965,36,26.43,
13.11.23 17:01:52,1.03,242,229.53,228.89,209.23,235.58,229.84,217.9,208.93,233.02,229.21,225.1,208.31,243.95,225.42,216.34,207.09,217.28,209.23,223.84,203.42,246.54,204.64,231.11,220.71,,27,965,36,26.4,
