tube.id,swimming,still,Treatment
Tube1,27,15,High
Tube2,26,3,High
Tube3,17,3,High
Tube4,10,15,Ambient
Tube5,25,14,Ambient
Tube6,16,18,High
Tube7,24,20,High
Tube8,18,26,Ambient
Tube9,11,15,Ambient
Tube10,19,26,Ambient
