fragment_ID,weight1.g,weight2.g,Notes,delta.mass.g,surface.area.cm2,Timepoint
REC-009,2.377,2.563,,0.1860000000000004,11.397503123483835,May
REC-010,0.917,1.033,,0.11599999999999988,8.941204880345898,May
REC-011,0.595,0.669,,0.07400000000000007,7.467425934463154,May
REC-012,3.396,3.625,,0.2290000000000001,12.906372044268545,May
REC-013,0.479,0.582,,0.10299999999999998,8.485035206620289,May
REC-014,0.685,0.76,,0.07499999999999996,7.502515909365121,May
REC-015,1.313,1.424,,0.11099999999999999,8.765755005836052,May
REC-016,0.573,0.617,,0.04400000000000004,6.414726687404045,May
REC-017,0.23,0.263,,0.033,6.028736963482371,May
REC-018,1.499,1.658,,0.1589999999999998,10.450073801130618,May
REC-019,2.831,3.118,,0.2869999999999999,14.941590588582816,May
REC-020,4.614,5.106,,0.492,22.13503544348672,May
REC-021,1.821,2.032,,0.21100000000000008,12.27475249603308,May
REC-022,2.33,2.563,,0.2330000000000001,13.046731943876427,May
REC-023,5.27,5.677,,0.40700000000000003,19.15238757681925,May
REC-024,7.034,7.505,,0.4710000000000001,21.39814597054535,May
REC-025,5.082,5.512,,0.4299999999999997,19.95945699956456,May
REC-026,6.483,7.101,,0.6180000000000003,26.556372281134987,May
REC-027,5.545,5.764,,0.2190000000000003,12.555472295248851,May
REC-028,1.457,1.602,,0.14500000000000002,9.958814152503042,May
REC-029,3.82,4.248,,0.4280000000000004,19.889277049760636,May
REC-030,1.917,2.05,,0.13299999999999979,9.53773445367939,May
REC-031,1.666,1.87,,0.20400000000000018,12.029122671719293,May
REC-032,1.285,1.434,,0.14900000000000002,10.099174052110921,May
POG-150,13.858,14.835,,0.9770000000000003,39.153673270942306,May
POV-005,10.481,11.246,,0.7650000000000006,31.714598591724624,May
POT-038,4.213,4.699,,0.48599999999999977,21.924495594074894,May
POV-057,6.851,7.322,,0.4710000000000001,21.39814597054535,May
POM-195,13.396,14.311,,0.9149999999999991,36.978094827020115,May
POG-159,18.174,19.102,,0.9280000000000008,37.43426450074578,May
POT-024,9.353,10.062,,0.7089999999999996,29.749559997214256,May
POG-172,21.418,22.693,,1.2750000000000021,49.610485791729516,May
POT-026,8.934,9.582,,0.6480000000000015,27.609071528194136,May
POM-003,9.694,10.492,,0.798,32.87256776348963,May
POG-151,28.714,30.158,,1.4440000000000026,55.54069155016251,May
POV-061,12.517,13.398,,0.8810000000000002,35.78503568035316,May
POT-029,4.906,5.366,,0.45999999999999996,21.01215624662367,May
POM-098,4.764,5.17,,0.4059999999999997,19.11729760191727,May
POM-133,4.902,5.249,,0.34699999999999953,17.046989082701018,May
POV-005,10.657,11.385,,0.7279999999999998,30.416269520351698,May
POM-196,9.664,10.575,,0.9109999999999996,36.83773492741225,May
POT-090,4.807,5.233,,0.42599999999999927,19.819097099956657,May
POT-030,7.315,8.044,,0.7290000000000001,30.45135949525368,May
POV-069,11.088,12.057,,0.9690000000000012,38.872953471726575,May
POV-004,12.505,13.291,,0.7859999999999996,32.451488064665966,May
POM-185,11.793,12.741,,0.9480000000000004,38.136063998785175,May
POG-168,9.436,10.074,,0.6379999999999999,27.25817177917438,May
POG-156,16.017,17.163,,1.1460000000000008,45.08387902937531,May
