fragment_ID,Sample,Diameter,weight1.g,weight2.g,Notes
1A,Standard,7.3,145.975,151.016,
1B,Standard,7.49,141.086,145.746,
2A,Standard,6.34,90.403,94.059,
2B,Standard,6.25,95.325,99.075,
3A,Standard,5,39.114,40.93,
3B,Standard,5,42.724,44.452,
4A,Standard,3.13,11.201,11.94,
4B,Standard,3.13,10.643,11.35,
5A,Standard,2.45,6.303,6.702,
5B,Standard,2.48,6.178,6.585,
6A,Standard,1.73,2.266,2.465,
6B,Standard,1.77,2.259,2.44,
7A,Standard,1.09,0.553,0.637,
7A,Standard,1.09,0.564,0.632,
REC-009,Coral,NA,2.377,2.563,
REC-010,Coral,NA,0.917,1.033,
REC-011,Coral,NA,0.595,0.669,
REC-012,Coral,NA,3.396,3.625,
REC-013,Coral,NA,0.479,0.582,
REC-014,Coral,NA,0.685,0.76,
REC-015,Coral,NA,1.313,1.424,
REC-016,Coral,NA,0.573,0.617,
REC-017,Coral,NA,0.23,0.263,
REC-018,Coral,NA,1.499,1.658,
REC-019,Coral,NA,2.831,3.118,
REC-020,Coral,NA,4.614,5.106,
REC-021,Coral,NA,1.821,2.032,
REC-022,Coral,NA,2.33,2.563,
REC-023,Coral,NA,5.27,5.677,
REC-024,Coral,NA,7.034,7.505,
REC-025,Coral,NA,5.082,5.512,
REC-026,Coral,NA,6.483,7.101,
REC-027,Coral,NA,5.545,5.764,
REC-028,Coral,NA,1.457,1.602,
REC-029,Coral,NA,3.82,4.248,
REC-030,Coral,NA,1.917,2.05,
REC-031,Coral,NA,1.666,1.87,
REC-032,Coral,NA,1.285,1.434,
POG-150,Coral,NA,13.858,14.835,
POV-005,Coral,NA,10.481,11.246,
POT-038,Coral,NA,4.213,4.699,
POV-057,Coral,NA,6.851,7.322,
POM-195,Coral,NA,13.396,14.311,
POG-159,Coral,NA,18.174,19.102,
POT-024,Coral,NA,9.353,10.062,
POG-172,Coral,NA,21.418,22.693,
POT-026,Coral,NA,8.934,9.582,
POM-003,Coral,NA,9.694,10.492,
POG-151,Coral,NA,28.714,30.158,
POV-061,Coral,NA,12.517,13.398,
POT-029,Coral,NA,4.906,5.366,
POM-098,Coral,NA,4.764,5.17,
POM-133,Coral,NA,4.902,5.249,
POV-005,Coral,NA,10.657,11.385,
POM-196,Coral,NA,9.664,10.575,
POT-090,Coral,NA,4.807,5.233,
POT-030,Coral,NA,7.315,8.044,
POV-069,Coral,NA,11.088,12.057,
POV-004,Coral,NA,12.505,13.291,
POM-185,Coral,NA,11.793,12.741,
POG-168,Coral,NA,9.436,10.074,
POG-156,Coral,NA,16.017,17.163,
POM-001,Coral,NA,8.277,8.974,
REC-036,Coral,NA,2.378,2.596,
REC-038,Coral,NA,7.953,8.825,
POV-179,Coral,NA,8.913,9.625,
POV-014,Coral,NA,4.491,5.029,
REC-033,Coral,NA,4.618,5.071,
POG-178,Coral,NA,9.762,10.341,
POM-002,Coral,NA,7.423,7.993,
REC-037,Coral,NA,3.156,3.402,
POT-046,Coral,NA,4.913,5.344,
REC-040,Coral,NA,4.355,4.729,
POT-048,Coral,NA,7.648,8.352,
REC-035,Coral,NA,0.758,0.832,
REC-039,Coral,NA,0.849,0.929,
REC-034,Coral,NA,7.616,8.056,
POG-163,Coral,NA,16.664,17.908,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,"both say 32, need to check notebook, changed this one to 22 for test"
,,,,,"both say 32, need to check notebook, kept this one 32 for test"
