fragment_ID,Sample,Diameter,weight1.g,weight2.g,Notes
1A,Standard,7.3,145.975,151.016,
1B,Standard,7.49,141.086,145.746,
2A,Standard,6.34,90.403,94.059,
2B,Standard,6.25,95.325,99.075,
3A,Standard,5,39.114,40.93,
3B,Standard,5,42.724,44.452,
4A,Standard,3.13,11.201,11.94,
4B,Standard,3.13,10.643,11.35,
5A,Standard,2.45,6.303,6.702,
5B,Standard,2.48,6.178,6.585,
6A,Standard,1.73,2.266,2.465,
6B,Standard,1.77,2.259,2.44,
7A,Standard,1.09,0.553,0.637,
7A,Standard,1.09,0.564,0.632,
REC-001,Coral,NA,2.66,2.876,
REC-002,Coral,NA,1.164,1.257,
REC-003,Coral,NA,2.623,2.817,
REC-004,Coral,NA,3.302,3.639,
REC-005,Coral,NA,1.029,1.126,
REC-006,Coral,NA,3.433,3.664,
REC-007,Coral,NA,4.635,5.074,
REC-008,Coral,NA,1.724,1.872,
POG-151,Coral,NA,15.91,16.199,
POM-191,Coral,NA,7.049,7.676,
POM-003,Coral,NA,5.056,5.461,
POG-172,Coral,NA,11.368,11.95,
POV-014,Coral,NA,4.62,5.071,
POT-043,Coral,NA,7.684,8.319,
POT-026,Coral,NA,6.238,6.671,
POV-061,Coral,NA,5.662,6.056,
