Date,Run,Plate,SDR,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20231114,1,2,641,28,1,0,14:50,15:03,0:13,2,13,0%
20231114,1,2,641,28,2,4,15:08,15:22,0:14,18,32,2%
20231114,1,2,641,28,3,14,15:24,15:39,0:15,34,49,5%
20231114,1,2,641,28,4,59,15:41,15:57,0:16,51,67,10%
20231114,1,2,641,28,5,115,15:59,16:14,0:15,69,84,15%
20231114,1,2,641,28,6,165,16:17,16:35,0:18,87,105,20%
20231114,1,2,641,28,7,259,16:38,17:00,0:22,108,130,30%
20231114,1,2,641,28,8,425,17:02,17:20,0:18,132,150,50%
20231114,1,2,641,28,9,562,17:22,17:34,0:12,152,164,70%
